"source_ip","total_requests","failed_login_ratio","admin_ratio","unique_paths"
"192.0.2.10",6,0,"0.16666666666666666",2
"192.0.2.11",6,0,0,1
"192.0.2.12",11,0,"0.2727272727272727",2
"192.0.2.13",6,0,0,1
"192.0.2.14",11,0,"0.36363636363636365",2
"192.0.2.15",6,0,"0.16666666666666666",2
"192.0.2.16",6,0,"0.16666666666666666",2
"192.0.2.17",8,0,"0.25",2
"192.0.2.18",10,0,"0.1",2
"192.0.2.19",11,0,"0.2727272727272727",2
"192.0.2.20",12,0,"0.16666666666666666",2
"192.0.2.21",9,0,"0.3333333333333333",2
"192.0.2.22",7,0,"0.2857142857142857",2
"192.0.2.23",9,0,"0.2222222222222222",2
"192.0.2.24",12,0,"0.3333333333333333",2
"192.0.2.25",12,0,"0.16666666666666666",2
"192.0.2.26",8,0,"0.125",2
"192.0.2.27",11,0,"0.09090909090909091",2
"192.0.2.28",6,0,0,1
"192.0.2.29",6,0,"0.5",2
"192.0.2.30",6,0,"0.3333333333333333",2
"192.0.2.31",5,0,"0.4",2
"192.0.2.32",9,0,"0.3333333333333333",2
"192.0.2.33",5,0,"0.2",2
"192.0.2.34",7,0,"0.2857142857142857",2
"192.0.2.35",8,0,0,1
"192.0.2.36",10,0,"0.3",2
"192.0.2.37",6,0,0,1
"192.0.2.38",9,0,"0.3333333333333333",2
"192.0.2.39",6,0,"0.16666666666666666",2
