"source_ip","total_requests","failed_login_ratio","admin_ratio","unique_paths"
"192.0.2.50",6,0,"0.16666666666666666",2
"192.0.2.51",6,0,0,1
"192.0.2.52",11,0,"0.2727272727272727",2
"192.0.2.53",6,0,0,1
"192.0.2.54",11,0,"0.36363636363636365",2
"192.0.2.55",6,0,"0.16666666666666666",2
"192.0.2.56",6,0,"0.16666666666666666",2
"192.0.2.57",8,0,"0.25",2
"192.0.2.58",10,0,"0.1",2
"192.0.2.59",11,0,"0.2727272727272727",2
"192.0.2.60",12,0,"0.16666666666666666",2
"192.0.2.61",9,0,"0.3333333333333333",2
"192.0.2.62",7,0,"0.2857142857142857",2
"192.0.2.63",9,0,"0.2222222222222222",2
"192.0.2.64",12,0,"0.3333333333333333",2
"192.0.2.65",12,0,"0.16666666666666666",2
"192.0.2.66",8,0,"0.125",2
"192.0.2.67",11,0,"0.09090909090909091",2
"192.0.2.68",6,0,0,1
"192.0.2.69",6,0,"0.5",2
"192.0.2.70",6,0,"0.3333333333333333",2
"192.0.2.71",5,0,"0.4",2
"192.0.2.72",9,0,"0.3333333333333333",2
"192.0.2.73",5,0,"0.2",2
"192.0.2.74",7,0,"0.2857142857142857",2
"192.0.2.75",8,0,0,1
"192.0.2.76",10,0,"0.3",2
"192.0.2.77",6,0,0,1
"192.0.2.78",9,0,"0.3333333333333333",2
"192.0.2.79",6,0,"0.16666666666666666",2
"203.0.113.50",20,1,0,1
"203.0.113.51",25,0,1,1
"203.0.113.52",40,0,0,1
