source_ip,total_requests,failed_login_ratio,admin_ratio,unique_paths,anomaly_score
192.0.2.10,6,0,0.1666666666666666,2,0.43054163239730264
192.0.2.11,6,0,0.0,1,0.5651737643321633
192.0.2.12,11,0,0.2727272727272727,2,0.4538007714802909
192.0.2.13,6,0,0.0,1,0.5651737643321633
192.0.2.14,11,0,0.3636363636363636,2,0.5090683897976405
192.0.2.15,6,0,0.1666666666666666,2,0.43054163239730264
192.0.2.16,6,0,0.1666666666666666,2,0.43054163239730264
192.0.2.17,8,0,0.25,2,0.46208030045694604
192.0.2.18,10,0,0.1,2,0.5266455682837257
192.0.2.19,11,0,0.2727272727272727,2,0.4538007714802909
192.0.2.20,12,0,0.1666666666666666,2,0.5183647653318616
192.0.2.21,9,0,0.3333333333333333,2,0.4355035049592733
192.0.2.22,7,0,0.2857142857142857,2,0.45002548620557964
192.0.2.23,9,0,0.2222222222222222,2,0.4615013036327753
192.0.2.24,12,0,0.3333333333333333,2,0.5439603149295413
192.0.2.25,12,0,0.1666666666666666,2,0.5183647653318616
192.0.2.26,8,0,0.125,2,0.5036342954794387
192.0.2.27,11,0,0.0909090909090909,2,0.5465613823981611
192.0.2.28,6,0,0.0,1,0.5651737643321633
192.0.2.29,6,0,0.5,2,0.625197464787594
192.0.2.30,6,0,0.3333333333333333,2,0.4708748986704525
192.0.2.31,5,0,0.4,2,0.5847743007334346
192.0.2.32,9,0,0.3333333333333333,2,0.4355035049592733
192.0.2.33,5,0,0.2,2,0.5427553113722458
192.0.2.34,7,0,0.2857142857142857,2,0.45002548620557964
192.0.2.35,8,0,0.0,1,0.6960233627531777
192.0.2.36,10,0,0.3,2,0.4620611122069583
192.0.2.37,6,0,0.0,1,0.5651737643321633
192.0.2.38,9,0,0.3333333333333333,2,0.4355035049592733
192.0.2.39,6,0,0.1666666666666666,2,0.43054163239730264
